id,speaker,disambiguation_time,pywsd_output,tokens_text,tokens_emotions,scene,primary_emotion,secondary_emotion,text_disambiguate,speech
73,OFFICER,0.003,"[('Sire', 'sire', None), ('!', '!', None)]","['Sire', '!']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,Sire !,Sire !
75,OFFICER,0.002,"[('But', 'but', None), (',', ',', None), ('Sire', 'sire', None), ('——', '——', None)]","['But', ',', 'Sire', '——']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,"But , Sire ——","But , Sire ——"
81,OFFICER,0.012,"[('Sire', 'sire', None), (',', ',', None), ('we', 'we', None), ('beg', 'beg', Synset('beg.v.04')), ('——', '——', None)]","['Sire', ',', 'we', 'beg', '——']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'disgust'}, {'primary_emotion': None, 'secondary_emotion': None}]",1,grief,disgust,"Sire , we beg ——","Sire , we beg ——"
4,EMPEROR,0.352,"[('At', 'at', None), ('last', 'last', None), (',', ',', None), ('this', 'this', None), ('little', 'little', None), ('paper', 'paper', None), ('——', '——', None)]","['At', 'last', ',', 'this', 'little', 'paper', '——']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'delight', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,delight,,"At last , this little paper ——","At last , this little paper ——"
6,EMPEROR,1.754,"[('Then', 'then', None), ('it', 'it', None), ('will', 'will', None), ('sing', 'sing', Synset('sing.v.03')), ('round', 'round', Synset('round_off.v.03')), ('the', 'the', None), ('planet', 'planet', None), ('.', '.', None), ('The', 'the', None), ('vibration', 'vibration', None), ('of', 'of', None), ('it', 'it', None), ('will', 'will', None), ('not', 'not', None), ('pass', 'pass', None), ('in', 'in', None), ('a', 'a', None), ('hundred', 'hundred', None), ('years', 'year', None), ('.', '.', None), ('My', 'my', None), ('friend', 'friend', None), (',', ',', None), ('how', 'how', None), ('still', 'still', None), ('the', 'the', None), ('world', 'world', None), ('has', 'have', None), ('grown', 'grow', Synset('grow.v.07')), ('since', 'since', None), ('I', 'i', None), ('raised', 'raise', Synset('rear.v.02')), ('this', 'this', None), ('pen', 'pen', None), ('!', '!', None), ('All', 'all', None), ('Europe', 'europe', None), (""'s"", ""'s"", None), ('listening', 'listening', None), ('.', '.', None), ('Europe', 'europe', None), ('!', '!', None), ('That', 'that', None), (""'s"", ""'s"", None), ('Germany', 'germany', None), (',', ',', None), ('when', 'when', None), ('I', 'i', None), ('have', 'have', None), ('signed', 'sign', Synset('sign.v.04')), ('!', '!', None), ('And', 'and', None), ('yet', 'yet', None), ('——', '——', None)]","['Then', 'it', 'will', 'sing', 'round_off', 'the', 'planet', '.', 'The', 'vibration', 'of', 'it', 'will', 'not', 'pass', 'in', 'a', 'hundred', 'years', '.', 'My', 'friend', ',', 'how', 'still', 'the', 'world', 'has', 'grow', 'since', 'I', 'rear', 'this', 'pen', '!', 'All', 'Europe', ""'s"", 'listening', '.', 'Europe', '!', 'That', ""'s"", 'Germany', ',', 'when', 'I', 'have', 'sign', '!', 'And', 'yet', '——']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'contentment', 'secondary_emotion': 'serenity'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'terror', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'bliss', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,ecstasy,delight,"Then it will sing round_off the planet . The vibration of it will not pass in a hundred years . My friend , how still the world has grow since I rear this pen ! All Europe 's listening . Europe ! That 's Germany , when I have sign ! And yet ——","Then it will sing round the planet . The vibration of it will not pass in a hundred years . My friend , how still the world has grown since I raised this pen ! All Europe 's listening . Europe ! That 's Germany , when I have signed ! And yet ——"
8,EMPEROR,0.707,"[('I', 'i', None), ('am', 'be', None), ('irresistible', 'irresistible', None), ('to-day', 'to-day', None), ('!', '!', None), ('“', '“', None), ('Red', 'red', None), ('blood', 'blood', None), ('boils', 'boil', None), ('in', 'in', None), ('my', 'my', None), ('veins', 'vein', None), ('.', '.', None), ('To', 'to', None), ('me', 'me', None), ('every', 'every', None), ('open', 'open', None), ('door', 'door', None), ('is', 'be', None), ('the', 'the', None), ('gift', 'gift', None), ('of', 'of', None), ('a', 'a', None), ('world', 'world', None), ('!', '!', None), ('I', 'i', None), ('hear', 'hear', Synset('learn.v.02')), ('a', 'a', None), ('thousand', 'thousand', None), ('nightingales', 'nightingales', None), ('!', '!', None), ('I', 'i', None), ('would', 'would', None), ('eat', 'eat', Synset('eat.v.01')), ('all', 'all', None), ('the', 'the', None), ('elephants', 'elephant', None), ('in', 'in', None), ('Hindustan', 'hindustan', None), ('and', 'and', None), ('pick', 'pick', Synset('pick.v.05')), ('my', 'my', None), ('teeth', 'teeth', None), ('with', 'with', None), ('the', 'the', None), ('spire', 'spire', None), ('of', 'of', None), ('Strassburg', 'strassburg', None), ('Cathedral', 'cathedral', None), ('.', '.', None), ('”', '”', None)]","['I', 'am', 'irresistible', 'to-day', '!', '“', 'Red', 'blood', 'boils', 'in', 'my', 'veins', '.', 'To', 'me', 'every', 'open', 'door', 'is', 'the', 'gift', 'of', 'a', 'world', '!', 'I', 'learn', 'a', 'thousand', 'nightingales', '!', 'I', 'would', 'eat', 'all', 'the', 'elephants', 'in', 'Hindustan', 'and', 'pick', 'my', 'teeth', 'with', 'the', 'spire', 'of', 'Strassburg', 'Cathedral', '.', '”']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'terror', 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'bliss', 'secondary_emotion': None}, {'primary_emotion': 'contentment', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'joy', 'secondary_emotion': 'pleasantness'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'calmness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'terror', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,I am irresistible to-day ! “ Red blood boils in my veins . To me every open door is the gift of a world ! I learn a thousand nightingales ! I would eat all the elephants in Hindustan and pick my teeth with the spire of Strassburg Cathedral . ”,I am irresistible to-day ! “ Red blood boils in my veins . To me every open door is the gift of a world ! I hear a thousand nightingales ! I would eat all the elephants in Hindustan and pick my teeth with the spire of Strassburg Cathedral . ”
11,EMPEROR,0.447,"[('What', 'what', None), ('of', 'of', None), ('Britain', 'britain', None), ('?', '?', None), ('OFFICER', 'officer', None), ('This', 'this', None), ('—', '—', None), ('The', 'the', None), ('Day', 'day', None), (',', ',', None), ('to', 'to', None), ('which', 'which', None), ('we', 'we', None), ('have', 'have', None), ('so', 'so', None), ('often', 'often', None), ('drunk', 'drunk', None), (',', ',', None), ('draws', 'draws', None), ('near', 'near', None), ('!', '!', None)]","['What', 'of', 'Britain', '?', 'OFFICER', 'This', '—', 'The', 'Day', ',', 'to', 'which', 'we', 'have', 'so', 'often', 'drunk', ',', 'draws', 'near', '!']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'terror'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,grief,terror,"What of Britain ? OFFICER This — The Day , to which we have so often drunk , draws near !","What of Britain ? OFFICER This — The Day , to which we have so often drunk , draws near !"
12,EMPEROR,0.102,"[('The', 'the', None), ('Day', 'day', Synset('day.n.10')), ('!', '!', None), ('To', 'to', None), ('The', 'the', None), ('Day', 'day', Synset('day.n.10')), ('!', '!', None)]","['The', 'Day', '!', 'To', 'The', 'Day', '!']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,The Day ! To The Day !,The Day ! To The Day !
13,EMPEROR,0.001,"[('But', 'but', None), ('when', 'when', None), ('?', '?', None)]","['But', 'when', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,But when ?,But when ?
15,EMPEROR,0.786,"[('There', 'there', None), ('is', 'be', None), ('no', 'no', None), ('road', 'road', None), ('to', 'to', None), ('Britain', 'britain', None), ('—', '—', None), ('until', 'until', None), ('our', 'our', None), ('neighbors', 'neighbor', None), ('are', 'be', None), ('subdued', 'subdue', Synset('tame.v.01')), ('.', '.', None), ('Then', 'then', None), (',', ',', None), ('for', 'for', None), ('us', 'u', None), (',', ',', None), ('there', 'there', None), ('will', 'will', None), ('be', 'be', None), ('no', 'no', None), ('roads', 'road', None), ('that', 'that', None), ('do', 'do', None), ('not', 'not', None), ('lead', 'lead', Synset('lead.v.08')), ('to', 'to', None), ('Britain', 'britain', None), ('.', '.', None), ('CHANCELLOR', 'chancellor', None), ('Your', 'your', None), ('Imperial', 'imperial', None), ('Majesty', 'majesty', None), (',', ',', None), ('Britain', 'britain', None), ('will', 'will', None), ('not', 'not', None), ('join', 'join', Synset('join.v.03')), ('in', 'in', None), ('just', 'just', None), ('now', 'now', None), ('.', '.', None)]","['There', 'is', 'no', 'road', 'to', 'Britain', '—', 'until', 'our', 'neighbors', 'are', 'tame', '.', 'Then', ',', 'for', 'us', ',', 'there', 'will', 'be', 'no', 'roads', 'that', 'do', 'not', 'lead', 'to', 'Britain', '.', 'CHANCELLOR', 'Your', 'Imperial', 'Majesty', ',', 'Britain', 'will', 'not', 'join', 'in', 'just', 'now', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'bliss'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,ecstasy,,"There is no road to Britain — until our neighbors are tame . Then , for us , there will be no roads that do not lead to Britain . CHANCELLOR Your Imperial Majesty , Britain will not join in just now .","There is no road to Britain — until our neighbors are subdued . Then , for us , there will be no roads that do not lead to Britain . CHANCELLOR Your Imperial Majesty , Britain will not join in just now ."
16,EMPEROR,0.005,"[('If', 'if', None), ('I', 'i', None), ('was', 'be', None), ('sure', 'sure', None), ('of', 'of', None), ('that', 'that', None), ('!', '!', None)]","['If', 'I', 'was', 'sure', 'of', 'that', '!']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,ecstasy,enthusiasm,If I was sure of that !,If I was sure of that !
18,EMPEROR,0.576,"[('These', 'these', None), ('wounds', 'wound', None), ('might', 'might', None), ('heal', 'heal', Synset('bring_around.v.02')), ('suddenly', 'suddenly', None), ('if', 'if', None), ('German', 'german', None), ('bugles', 'bugle', None), ('sounded', 'sound', Synset('sound.v.06')), ('.', '.', None), ('It', 'it', None), ('is', 'be', None), ('a', 'a', None), ('land', 'land', None), ('that', 'that', None), ('in', 'in', None), ('the', 'the', None), ('past', 'past', None), ('has', 'have', None), ('done', 'do', None), ('things', 'thing', None), ('.', '.', None)]","['These', 'wounds', 'might', 'bring_around', 'suddenly', 'if', 'German', 'bugles', 'sound', '.', 'It', 'is', 'a', 'land', 'that', 'in', 'the', 'past', 'has', 'done', 'things', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,These wounds might bring_around suddenly if German bugles sound . It is a land that in the past has done things .,These wounds might heal suddenly if German bugles sounded . It is a land that in the past has done things .
