id,speaker,speech,text_disambiguate,disambiguation_timepywsd_output,tokens_text,tokens_emotions,scene,primary_emotion,secondary_emotion,disambiguation_time,pywsd_output
20,KARL,Oh ! It 's going to start again !,oh ! it 's go to start again !,,"['oh', '!', 'it', ""'s"", 'go', 'to', 'start', 'again', '!']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,0.358,"[('Oh', 'oh', None), ('!', '!', None), ('It', 'it', None), (""'s"", ""'s"", None), ('going', 'go', Synset('start.v.09')), ('to', 'to', None), ('start', 'start', Synset('start.v.09')), ('again', 'again', None), ('!', '!', None)]"
22,KARL,"You 're silly , Mimi .","you 're silly , mimi .",,"['you', ""'re"", 'silly', ',', 'mimi', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,enthusiasm,,0.004,"[('You', 'you', None), (""'re"", ""'re"", None), ('silly', 'silly', None), (',', ',', None), ('Mimi', 'mimi', None), ('.', '.', None)]"
24,KARL,"Go home , Mimi .","go home , mimi .",,"['go', 'home', ',', 'mimi', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'calmness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,calmness,,0.422,"[('Go', 'go', None), ('home', 'home', None), (',', ',', None), ('Mimi', 'mimi', None), ('.', '.', None)]"
26,KARL,Really ?,really ?,,"['really', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,0.002,"[('Really', 'really', None), ('?', '?', None)]"
29,KARL,No .,no .,,"['no', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,0.001,"[('No', 'no', None), ('.', '.', None)]"
31,KARL,You little mind-reader .,you little mind-reader .,,"['you', 'little', 'mind-reader', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'delight', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,delight,,0.005,"[('You', 'you', None), ('little', 'little', None), ('mind-reader', 'mind-reader', None), ('.', '.', None)]"
33,KARL,"Well , what do you want ?","well , what do you want ?",,"['well', ',', 'what', 'do', 'you', 'want', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,0.031,"[('Well', 'well', None), (',', ',', None), ('what', 'what', None), ('do', 'do', None), ('you', 'you', None), ('want', 'want', Synset('desire.v.01')), ('?', '?', None)]"
35,KARL,", bored Yes , yes — of course .",", bore yes , yes — of course .",,"[',', 'bore', 'yes', ',', 'yes', '—', 'of', 'course', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'calmness'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'calmness'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,ecstasy,calmness,0.432,"[(',', ',', None), ('bored', 'bore', Synset('hold.v.14')), ('Yes', 'yes', None), (',', ',', None), ('yes', 'yes', None), ('—', '—', None), ('of', 'of', None), ('course', 'course', None), ('.', '.', None)]"
37,KARL,"Well , what shall I say ?","well , what shall i say ?",,"['well', ',', 'what', 'shall', 'i', 'say', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,enthusiasm,,0.046,"[('Well', 'well', None), (',', ',', None), ('what', 'what', None), ('shall', 'shall', None), ('I', 'i', None), ('say', 'say', Synset('say.v.09')), ('?', '?', None)]"
39,KARL,", smiling Why , yes .",", smile why , yes .",,"[',', 'smile', 'why', ',', 'yes', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'calmness'}, {'primary_emotion': None, 'secondary_emotion': None}]",1,ecstasy,calmness,0.008,"[(',', ',', None), ('smiling', 'smile', Synset('smile.v.01')), ('Why', 'why', None), (',', ',', None), ('yes', 'yes', None), ('.', '.', None)]"
41,KARL,"If you were not such a dear little nuisance — And now , run away , little girl : go home .","if you be not such a dear little nuisance — and now , run away , little girl : go home .",,"['if', 'you', 'be', 'not', 'such', 'a', 'dear', 'little', 'nuisance', '—', 'and', 'now', ',', 'run', 'away', ',', 'little', 'girl', ':', 'go', 'home', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'delight', 'secondary_emotion': None}, {'primary_emotion': 'anxiety', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'rage', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'delight', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'calmness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,delight,,1.606,"[('If', 'if', None), ('you', 'you', None), ('were', 'be', None), ('not', 'not', None), ('such', 'such', None), ('a', 'a', None), ('dear', 'dear', None), ('little', 'little', None), ('nuisance', 'nuisance', None), ('—', '—', None), ('And', 'and', None), ('now', 'now', None), (',', ',', None), ('run', 'run', Synset('function.v.01')), ('away', 'away', None), (',', ',', None), ('little', 'little', None), ('girl', 'girl', None), (':', ':', None), ('go', 'go', Synset('function.v.01')), ('home', 'home', None), ('.', '.', None)]"
43,KARL,No .,no .,,"['no', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",1,,,0.001,"[('No', 'no', None), ('.', '.', None)]"
